rel| WSJ870324-0001 :0
tender| WSJ870324-0001 :1
offers| WSJ870324-0001 :2
mergers| WSJ870324-0001 :3
acquisitions| WSJ870324-0001 :4
tnm| WSJ870324-0001 :5
marketing| WSJ870324-0001 :6
advertising| WSJ870324-0001 :7,28,103
mkt| WSJ870324-0001 :8
telecommunications| WSJ870324-0001 :9
broadcasting| WSJ870324-0001 :10,116
telephone| WSJ870324-0001 :11
telegraph| WSJ870324-0001 :12
tel| WSJ870324-0001 :13
john| WSJ870324-0001 :14,66,83,88,132
blair| WSJ870324-0001 :15,67,84,89,133
amp| WSJ870324-0001 :16
co| WSJ870324-0001 :17
is| WSJ870324-0001 :18
close| WSJ870324-0001 :19
to| WSJ870324-0001 :20,23,35; WSJ870323-0181 :23
an| WSJ870324-0001 :21,36
agreement| WSJ870324-0001 :22
sell| WSJ870324-0001 :24
its| WSJ870324-0001 :25; WSJ870323-0181 :13
tv| WSJ870324-0001 :26
station| WSJ870324-0001 :27
representation| WSJ870324-0001 :29
operation| WSJ870324-0001 :30
and| WSJ870324-0001 :31,101; WSJ870323-0181 :42,44
program| WSJ870324-0001 :32,125
production| WSJ870324-0001 :33
unit| WSJ870324-0001 :34
investor| WSJ870324-0001 :37
group| WSJ870324-0001 :38,75
led| WSJ870324-0001 :39
by| WSJ870324-0001 :40,72
james| WSJ870324-0001 :41
h| WSJ870324-0001 :42
rosenfield| WSJ870324-0001 :43,105,128
a| WSJ870324-0001 :44,109,121; WSJ870323-0181 :10,24,29
former| WSJ870324-0001 :45
cbs| WSJ870324-0001 :46,115,122
inc| WSJ870324-0001 :47,76
executive| WSJ870324-0001 :48,111
industry| WSJ870324-0001 :49,52
sources| WSJ870324-0001 :50,53
said| WSJ870324-0001 :51; WSJ870323-0181 :34
put| WSJ870324-0001 :54
the| WSJ870324-0001 :55,58,97; WSJ870323-0181 :32,35
value| WSJ870324-0001 :56
of| WSJ870324-0001 :57,82,99,114,131; WSJ870323-0181 :16,26
proposed| WSJ870324-0001 :59
acquisition| WSJ870324-0001 :60
at| WSJ870324-0001 :61
more| WSJ870324-0001 :62
than| WSJ870324-0001 :63
100| WSJ870324-0001 :64
million| WSJ870324-0001 :65; WSJ870323-0181 :18,28
was| WSJ870324-0001 :68
acquired| WSJ870324-0001 :69
last| WSJ870324-0001 :70
year| WSJ870324-0001 :71; WSJ870323-0181 :30
reliance| WSJ870324-0001 :73
capital| WSJ870324-0001 :74
which| WSJ870324-0001 :77
has| WSJ870324-0001 :78
been| WSJ870324-0001 :79
divesting| WSJ870324-0001 :80
itself| WSJ870324-0001 :81
s| WSJ870324-0001 :85
major| WSJ870324-0001 :86
assets| WSJ870324-0001 :87
represents| WSJ870324-0001 :90
about| WSJ870324-0001 :91
130| WSJ870324-0001 :92
local| WSJ870324-0001 :93
television| WSJ870324-0001 :94
stations| WSJ870324-0001 :95
in| WSJ870324-0001 :96,117; WSJ870323-0181 :19,21,40
placement| WSJ870324-0001 :98
national| WSJ870324-0001 :100
other| WSJ870324-0001 :102
mr| WSJ870324-0001 :104,127
stepped| WSJ870324-0001 :106
down| WSJ870324-0001 :107
as| WSJ870324-0001 :108
senior| WSJ870324-0001 :110
vice| WSJ870324-0001 :112
president| WSJ870324-0001 :113
december| WSJ870324-0001 :118
1985| WSJ870324-0001 :119
under| WSJ870324-0001 :120
early| WSJ870324-0001 :123
retirement| WSJ870324-0001 :124
neither| WSJ870324-0001 :126
nor| WSJ870324-0001 :129
officials| WSJ870324-0001 :130
could| WSJ870324-0001 :134
be| WSJ870324-0001 :135
reached| WSJ870324-0001 :136
for| WSJ870324-0001 :137
comment| WSJ870324-0001 :138
frest| WSJ870323-0181 :0
monetary| WSJ870323-0181 :1
news| WSJ870323-0181 :2
foreign| WSJ870323-0181 :3
exchange| WSJ870323-0181 :4
trade| WSJ870323-0181 :5,39
mon| WSJ870323-0181 :6
south| WSJ870323-0181 :7
korea| WSJ870323-0181 :8
posted| WSJ870323-0181 :9
surplus| WSJ870323-0181 :11
on| WSJ870323-0181 :12
current| WSJ870323-0181 :14,36
account| WSJ870323-0181 :15,37
419| WSJ870323-0181 :17
february| WSJ870323-0181 :20
contrast| WSJ870323-0181 :22
deficit| WSJ870323-0181 :25
112| WSJ870323-0181 :27
earlier| WSJ870323-0181 :31
government| WSJ870323-0181 :33
comprises| WSJ870323-0181 :38
goods| WSJ870323-0181 :41
services| WSJ870323-0181 :43
some| WSJ870323-0181 :45
unilateral| WSJ870323-0181 :46
transfers| WSJ870323-0181 :47
